id,iddepto,nomdepto,idmpio,nompio,codigohabilitacion,nombre,nitsnit,ese,direccion,direccionorig,telefono,najunombre,numerosedeprincipal,latitude,longitude,Localidad
74,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,071",CENTRO MEDICO DE ORIENTACION LA GLORIA S.A.S SIGLA IPS LA GLORIA S.A.S,"830,062,334",NO,CALLE 34 # 15 51,CALLE 34 # 15 51,3402120,Privada,1,4.6247088,-74.0789546,Teusaquillo
75,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,107",OPTICA APOLO S A S,"830,051,898",NO,AK 58 # 127 59 LC 1-57,AK 58 # 127 59 LC 1-57,2263748,Privada,1,4.7172493,-74.0692353,Suba
76,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,113",PANORAMAX LTDA,"800,174,947",NO,CALLE 49 # 9 21 PISO 1,CALLE 49 # 9 21 PISO 1,3384312,Privada,1,4.6359613,-74.0649014347266,Chapinero
77,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,119",CAJA DE COMPENSACION FAMILIAR DE CUNDINAMARCA COMFACUNDI,"860,045,904",NO,CL 53 # 10 39 PI 2,CL 53 # 10 39 PI 2,3481248 Extension 202,Privada,1,4.6398327,-74.06460235167646,Chapinero
78,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,155",ASOCIACION DE AMIGOS CONTRA EL CANCER PROSEGUIR,"830,090,073",NO,CARRERA 16 No 59-04 / 54 - Barrio:CHAPINERO,CARRERA 16 No 59-04 / 54 - Barrio:CHAPINERO,5557080 EXT 1026,Privada,5,4.5902581,-74.0944554,Antonio Nariño
79,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,161",CORPORACION OTOLOGIA INVESTIGACION REHABILITACION OIR,"860,079,711",NO,CARRERA 13 # 63 - 39 OF. 604,CARRERA 13 # 63 - 39 OF. 604,3133906101 - 3015783559,Privada,1,4.65002285,-74.06395579296755,Chapinero
80,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,183",ASOCIADOS EN REPRODUCCION HUMANA SAS,"830,084,207",NO,CL 134 # 7 B 83 CS 708,CL 134 # 7 B 83 CS 708,6274066,Privada,1,4.742783,-74.125321,Suba
81,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,209",OBGYN S.A.S,"800,146,637",,CARRERA 19 A NO. 82 85 CONSULTORIO 801,CARRERA 19 A NO. 82 85 CONSULTORIO 801,6358057 - 6215670,Privada,1,4.5589394,-74.1483859,Ciudad Bolivar
82,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,266",RADIOTERAPIA ONCOLOGIA MARLY S.A,"800,067,908",NO,CRA 9 # 49 22,CRA 9 # 49 22,2878154 Ext 106,Privada,1,4.636552050000001,-74.0643622627841,Chapinero
83,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,270",SERVICIO DE INMUNOANALISIS DE BOGOTA LTDA-SIB LAB LTDA,"800,123,007",NO,CALLE 50 # 8 24 CONS 306 307,CALLE 50 # 8 24 CONS 306 307,3100186,Privada,1,4.6374749,-74.0669591,Teusaquillo
84,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,279",EVOLUCIONAR SERVICIOS DE SALUD SAS,"830,040,404",NO,CL 95  No. 11-51 of. 201-204,CL 95  No. 11-51 of. 201-204,3138542565,Privada,1,4.6904079,-74.0790637,Suba
85,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,323",MAGBA NEURODIGITAL S.A.S,"830,078,811",NO,CARRERA 16A # 82-46 CONSULTORIO 711,CARRERA 16A # 82-46 CONSULTORIO 711,5313807,Privada,1,4.7473303,-74.0378721,Usaquén
86,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,338",FUNDACION SANTA MARIA,"860,006,805",NO,AK 50 No 90-50,AK 50 No 90-50,2568336,Privada,1,4.6845786,-74.0621336,Barrios Unidos
87,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,371",ORTHO WAVE COLOMBIA LTDA- OWC LTDA,"830,075,393",NO,AC 134 # 7 B 83 OF 122 CS 4,AC 134 # 7 B 83 OF 122 CS 4,5200010,Privada,1,4.71144255,-74.03107490323647,Usaquén
88,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,389",UNIDAD MEDICA BIOCENTER LIMITADA,"830,049,428",NO,CL 53 B # 24 80 CS 401,CL 53 B # 24 80 CS 401,3124356534,Privada,1,4.6435905,-74.0761533,Teusaquillo
89,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,450",UNIDAD DE LABORATORIOS ESPECIALIZADA S.A.S. SIGLA: ZEPHIA 1-A S.A.S.,"830,104,405",NO,Calle  92 # 15 62 LOCAL 106,Calle  92 # 15 62 LOCAL 106,2369988,Privada,1,4.6810737,-74.0663246,Barrios Unidos
90,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,543",FOTOTERAPIA BOJANINI Y LOPEZ SAS,"800,236,964",NO,CL 125 # 19 89 OFIC 404,CL 125 # 19 89 OFIC 404,3003303,Privada,1,4.7066399,-74.0619617,Suba
91,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,579",CENTRO OCULAR DE MIOPIA DR. RINCON SOCIEDAD POR ACCIONES SIMPLIFICADAS S A S,"830,102,932",NO,AV CR 19 103 21,AV CR 19 103 21,6107771,Privada,1,4.5621909,-74.1390913,Ciudad Bolivar
92,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,694",UROBOSQUE S.A,"830,058,292",NO,AC 134 No. 7- 83 TO 3 PI 6 MD 361,AC 134 No. 7- 83 TO 3 PI 6 MD 361,6482254 - 3178929377,Privada,1,4.7143814,-74.0379997,Usaquén
93,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,708",OPTILASER S.A,"830,020,842",NO,"Carrera 16 # 97-46 Torre B, consultorio 704. Edificio Torre 97","Carrera 16 # 97-46 Torre B, consultorio 704. Edificio Torre 97",7436009 ext 123 - 3184941364,Privada,2,4.6754953,-74.05352,Chapinero
95,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,916",FUNDACION OFTALMOLOGICA NACIONAL,"860,048,656",NO,CALLE 50 # 13 50,CALLE 50 # 13 50,3487349,Privada,1,4.6373988,-74.0660779,Chapinero
96,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,973",LABOPAT SAS Y/O LABOPAT LABORATORIO CLINICO PATOLOGIA Y CITOLOGIA SAS,"800,133,151",NO,CARRERA 13A No. 96-83 Piso 2 y 3,CARRERA 13A No. 96-83 Piso 2 y 3,7452555-3153626293,Privada,1,4.7618301,-74.0351527,Usaquén
97,11,Bogotá D.C,11001,BOGOTÁ,"1,100,103,975",CENTRO MEDICO LA FACULTAD SAS,"800,197,167",NO,CRA 18 sur No. 56A-50,CRA 18 sur No. 56A-50,7608414 - 2059235 - 3132416725,Privada,1,4.5481649,-74.1436625,Ciudad Bolivar
99,11,Bogotá D.C,11001,BOGOTÁ,"1,100,104,014",PROCREACION MEDICAMENTE ASISTIDA LTDA,"830,014,121",NO,CALLE 50 # 7 36 PI 6,CALLE 50 # 7 36 PI 6,3481116,Privada,1,4.6675992,-74.1079652,Engativá
100,11,Bogotá D.C,11001,BOGOTÁ,"1,100,104,035",UNIDAD MEDICA Y DE DIAGNOSTICO S.A,"830,001,007",NO,AK 45 NO. 122 - 96 PISOS 1-2-4 - Barrio:SANTA BARBARA,AK 45 NO. 122 - 96 PISOS 1-2-4 - Barrio:SANTA BARBARA,7565656 EXT 6557 - 3182403356,Privada,21,4.7364014,-74.0485756,Usaquén
102,11,Bogotá D.C,11001,BOGOTÁ,"1,100,104,131",FUNDACION  HOSPITAL SAN CARLOS,"860,007,373",NO,KR 12D  32 44 SUR,KR 12D  32 44 SUR,7443333,Privada,1,4.5848832,-74.0938118,Antonio Nariño
